grade,sample_id,site_name,building_name,member_name,species_name,sample storage,選定,備考
A,KZ00222,同志社,クラーク館,柱材,-,古材ラック（D-2）,,
A,KZ00224,万福寺,松隠堂,小屋束,-,古材ラック（C-2）,,
A,KZ00227,専修寺,御影堂,瓦座,ヒノキ,古材ラック（C-5）、倉庫（C-3-3）,,
A,KZ00233,専修寺,御影堂,床貫,ヒノキ,古材ラック（C-5）,,
A,KZ00237,旧中筋家住宅,-,柱,-,古材ラック（D-5）,,
A,KZ00252,清水寺,奥の院,柱,スギ,古材ラック（C-4）,,
A,KZ00259,唐招提寺,金堂,庇天井格縁,スギ,古材ラック（A-2）,,
A,KZ00261,唐招提寺,金堂,茅負,ヒバ,古材ラック（A-2）,,
A,KZ00262,唐招提寺,金堂,柱根継材,ケヤキ,古材ラック（A-2）,,
A,KZ00264,唐招提寺,金堂,柱根継材,ヒノキ,展示室コーナー、古材ラック（A-2）,,
A,KZ00265,唐招提寺,金堂,腰長押,ヒノキ,古材ラック（A-2）,,
A,KZ00270,唐招提寺,金堂,野垂木,トガ,古材ラック（A-3）,,
A,KZ00271,唐招提寺,金堂,軒支輪,ヒノキ,古材ラック（A-3）,,
A,KZ00272,唐招提寺,金堂,軒支輪,ヒノキ,古材ラック（A-3）,,
A,KZ00273,唐招提寺,金堂,腰長押埋木,ヒノキ,古材ラック（A-3）,,
A,KZ00275,唐招提寺,金堂,柱埋木材,ヒノキ,古材ラック（A-3）,,
A,KZ00276,唐招提寺,金堂,柱埋木材,ヒノキ,古材ラック（A-3）,,
A,KZ00277,唐招提寺,金堂,柱埋木材,ヒノキ,古材ラック（A-3）,,
A,KZ00278,唐招提寺,金堂,柱埋木材,ヒノキ,古材ラック（A-2）,,
A,KZ00279,唐招提寺,金堂,柱埋木材,ヒノキ,古材ラック（A-4）,,
A,KZ00282,唐招提寺,金堂,隅庇虹張,ヒノキ,古材ラック（A-4）,,
A,KZ00284,唐招提寺,金堂,間斗,ヒノキ,古材ラック（A-4）,,
A,KZ00285,唐招提寺,金堂,木負,ヒノキ,古材ラック（A-4）,,
A,KZ00286,唐招提寺,金堂,木負,ヒノキ,古材ラック（A-4）,,
A,KZ00288,唐招提寺,金堂,軒小天井組子,ヒノキ,古材ラック（A-4）、倉庫（B-2-3）,,
A,KZ00289,唐招提寺,金堂,軒小天井組子,ヒノキ,古材ラック（A-4）,,
A,KZ00291,唐招提寺,金堂,切裏甲,ヒノキ,古材ラック（A-5）,,
